Test Outcome,Failure,Success,Unknown,Grand Total
Missile Name,Missile Name (Count All),,,
ER Scud,1,7,,8
Hwasong-12,3,3,1,7
Hwasong-14,,2,,2
Hwasong-15,,1,,1
Hwasong-17,,1,,1
Hwasong-8,,1,,1
Hwasong-8 MARV,,2,,2
KN-02,,20,,20
KN-23,,13,,13
KN-24,,8,,8
KN-25,1,22,,23
Musudan,7,1,,8
Navalized KN-23,,2,,2
New IRBM (2022),,1,,1
Nodong,4,12,,16
Pukguksong-1,3,3,,6
Pukguksong-2,,2,,2
Pukguksong-3,,1,,1
Rail-mobile KN-23,,4,,4
Scud-B,3,7,,10
Scud-B MaRV,1,2,,3
Scud-C,,26,1,27
Scud-C MaRV,,1,,1
Taepodong-1,1,,,1
Unha,2,,,2
Unha-3,1,2,,3
Unknown,5,6,14,25
Unnamed large solid-propellant SRBM (KN-23 Mod),,4,,4
Unnamed small solid-propellant SRBM (2022),,2,,2
Grand Total,32,156,16,204
